"code","country","siteid","site_name","compiler","species","common_name","years_monitored","latitude","longitude","nesting_status"
"US","United States (contiguous)","US02","Bay",NA,"Lepidochelys kempii","Kemp's Ridley",2014,30.1021818545,-85.7071168847,"NO-NESTING"
"US","United States (contiguous)","US33","Blackbeard Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2005,31.511883,-81.182783,"QUANTIFIED"
"US","United States (contiguous)","US57","Boca Chica","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2008,26.038971,-97.153675,"QUANTIFIED"
"US","United States (contiguous)","US56","Bolivar Peninsula","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2008,29.5074,-94.5003,"QUANTIFIED"
"US","United States (contiguous)","WCUSAL2","Bon Secour National Wildlife Refuge","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2006,30.228396,-87.891707,"QUANTIFIED"
"US","United States (contiguous)","US105","Botany Bay Island","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.560156,-80.195247,"QUANTIFIED"
"US","United States (contiguous)","US106","Botany Bay Plantation","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,32.549248,-80.221345,"QUANTIFIED"
"US","United States (contiguous)","WCUSLA1","Breton National Wildlife Refuge","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",1990,29.9094,-88.8215,"QUANTIFIED"
"US","United States (contiguous)","US03","Brevard",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,28.3518572414,-80.6044326786,"QUANTIFIED"
"US","United States (contiguous)","US03","Brevard",NA,"Chelonia mydas","Green Sea Turtle",2014,28.3518572414,-80.6044326786,"QUANTIFIED"
"US","United States (contiguous)","US03","Brevard",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,28.3518572414,-80.6044326786,"QUANTIFIED"
"US","United States (contiguous)","US03","Brevard",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,28.3518572414,-80.6044326786,"NO-NESTING"
"US","United States (contiguous)","US03","Brevard",NA,"Lepidochelys kempii","Kemp's Ridley",2014,28.3518572414,-80.6044326786,"QUANTIFIED"
"US","United States (contiguous)","US107","Briarcliff Acres","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,33.784894,-78.742519,"QUANTIFIED"
"US","United States (contiguous)","US04","Broward",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,26.1508569202,-80.1006233651,"QUANTIFIED"
"US","United States (contiguous)","US04","Broward",NA,"Chelonia mydas","Green Sea Turtle",2014,26.1508569202,-80.1006233651,"QUANTIFIED"
"US","United States (contiguous)","US04","Broward",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,26.1508569202,-80.1006233651,"QUANTIFIED"
"US","United States (contiguous)","US04","Broward",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,26.1508569202,-80.1006233651,"NO-NESTING"
"US","United States (contiguous)","US04","Broward",NA,"Lepidochelys kempii","Kemp's Ridley",2014,26.1508569202,-80.1006233651,"NO-NESTING"
"US","United States (contiguous)","US75","Camp Lejeune",NA,"Caretta caretta","Loggerhead Sea Turtle",2009,33.5337,-77.3285,"UNQUANTIFIED"
